	0.042
	0.083
	0.125
	0.167
	0.208
	0.250
	0.292
1.65	0.333
	0.375
	0.417
	0.458
	0.500
	0.542
	0.583
	0.625
	0.667
	0.708
	0.750
	0.792
	0.833
	0.875
	0.917
	0.958
	1.000
	1.042
	1.083
	1.125
	1.167
	1.208
	1.250
	1.292
1.57	1.333
	1.375
	1.417
	1.458
	1.500
	1.542
	1.583
1.76	1.625
	1.667
	1.708
	1.750
	1.792
	1.833
	1.875
	1.917
	1.958
	2.000
	2.042
	2.083
	2.125
	2.167
	2.208
	2.250
	2.292
1.52	2.333
1.90	2.375
2.20	2.417
2.40	2.458
	2.500
2.44	2.542
	2.583
1.67	2.625
	2.667
	2.708
	2.750
	2.792
	2.833
	2.875
	2.917
	2.958
	3.000
	3.042
	3.083
	3.125
	3.167
	3.208
	3.250
	3.292
1.57	3.333
2.00	3.375
2.30	3.417
2.30	3.458
2.33	3.500
	3.542
	3.583
1.76	3.625
	3.667
	3.708
	3.750
	3.792
	3.833
	3.875
	3.917
	3.958
	4.000
	4.042
	4.083
	4.125
	4.167
	4.208
	4.250
	4.292
	4.333
2.00	4.375
2.11	4.417
2.40	4.458
	4.500
	4.542
	4.583
	4.625
	4.667
	4.708
	4.750
	4.792
	4.833
	4.875
	4.917
	4.958
	5.000
	5.042
	5.083
	5.125
	5.167
	5.208
	5.250
	5.292
1.68	5.333
	5.375
	5.417
	5.458
	5.500
	5.542
	5.583
	5.625
	5.667
	5.708
	5.750
	5.792
	5.833
	5.875
	5.917
	5.958
	6.000
	6.042
	6.083
	6.125
	6.167
	6.208
	6.250
	6.292
	6.333
	6.375
	6.417
	6.458
	6.500
	6.542
	6.583
	6.625
	6.667
	6.708
	6.750
	6.792
	6.833
	6.875
	6.917
	6.958
	7.000
	7.042
	7.083
	7.125
	7.167
	7.208
	7.250
	7.292
1.67	7.333
	7.375
	7.417
	7.458
	7.500
	7.542
	7.583
	7.625
	7.667
	7.708
	7.750
	7.792
	7.833
	7.875
	7.917
	7.958
	8.000
	8.042
	8.083
	8.125
	8.167
	8.208
	8.250
	8.292
1.62	8.333
2.27	8.375
	8.417
	8.458
	8.500
	8.542
	8.583
	8.625
1.55	8.667
	8.708
	8.750
	8.792
	8.833
	8.875
	8.917
	8.958
	9.000
	9.042
	9.083
	9.125
	9.167
	9.208
	9.250
	9.292
	9.333
	9.375
	9.417
	9.458
2.76	9.500
	9.542
2.32	9.583
1.95	9.625
	9.667
	9.708
	9.750
	9.792
	9.833
	9.875
	9.917
	9.958
	10.000
	10.042
	10.083
	10.125
	10.167
	10.208
	10.250
	10.292
	10.333
1.91	10.375
	10.417
2.40	10.458
	10.500
	10.542
	10.583
2.01	10.625
	10.667
	10.708
	10.750
	10.792
	10.833
	10.875
	10.917
	10.958
	11.000
	11.042
	11.083
	11.125
	11.167
	11.208
	11.250
	11.292
	11.333
	11.375
2.54	11.417
	11.458
	11.500
2.47	11.542
	11.583
	11.625
	11.667
	11.708
	11.750
	11.792
	11.833
	11.875
	11.917
	11.958
	12.000
	12.042
	12.083
	12.125
	12.167
	12.208
	12.250
	12.292
	12.333
	12.375
	12.417
2.48	12.458
	12.500
	12.542
	12.583
	12.625
1.71	12.667
	12.708
	12.750
	12.792
	12.833
	12.875
	12.917
	12.958
	13.000
	13.042
	13.083
	13.125
	13.167
	13.208
	13.250
	13.292
	13.333
2.01	13.375
2.24	13.417
	13.458
2.69	13.500
	13.542
	13.583
	13.625
1.62	13.667
	13.708
	13.750
	13.792
	13.833
	13.875
	13.917
	13.958
	14.000
	14.042
	14.083
	14.125
	14.167
	14.208
	14.250
	14.292
	14.333
2.01	14.375
2.54	14.417
2.45	14.458
	14.500
	14.542
	14.583
	14.625
1.59	14.667
	14.708
	14.750
	14.792
	14.833
	14.875
	14.917
	14.958
	15.000
	15.042
	15.083
	15.125
	15.167
	15.208
	15.250
	15.292
1.58	15.333
	15.375
	15.417
2.69	15.458
	15.500
	15.542
2.32	15.583
	15.625
	15.667
	15.708
	15.750
	15.792
	15.833
	15.875
	15.917
	15.958
	16.000
	16.042
	16.083
	16.125
	16.167
	16.208
	16.250
	16.292
	16.333
2.07	16.375
2.44	16.417
2.53	16.458
